 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
51,3,1,3,3,16,8.657,1,0,12.899
52,1,0,2,0,9,12.071,0,0,12.071
53,3,1,3,4,16,8.438,1,0,10.828
54,1,0,2,0,2,3.414,0,0,3.414
55,1,0,2,0,6,9.071,0,0,9.071
56,1,0,2,0,29,35.385,0,0,35.385
57,1,0,2,0,15,18.071,0,0,18.071
58,1,0,2,0,4,5.828,0,0,5.828
59,1,0,2,0,1,2.000,0,0,2.000
60,0,0,1,0,0,0.000,0,0,0.000
61,1,0,2,0,5,7.657,0,0,7.657
62,0,0,1,0,0,0.000,0,0,0.000
63,5,2,4,8,34,9.760,2,0,22.485
64,7,3,5,8,21,5.602,3,0,9.485
65,1,0,2,0,4,5.828,0,0,5.828
66,1,0,2,0,11,14.071,0,0,14.071
67,1,0,2,0,2,3.828,0,0,3.828
68,1,0,2,0,3,4.828,0,0,4.828
69,1,0,2,0,5,7.657,0,0,7.657
70,3,1,3,4,1,2.748,1,0,3.828
71,1,0,2,0,5,7.243,0,0,7.243
72,1,0,2,0,11,14.071,0,0,14.071
73,0,0,1,0,0,0.000,0,0,0.000
74,3,1,3,1,17,7.909,1,0,10.657
75,0,0,1,0,0,0.000,0,0,0.000
76,0,0,1,0,0,0.000,0,0,0.000
77,0,0,1,0,0,0.000,0,0,0.000
78,3,1,3,4,8,5.633,1,0,7.657
79,3,1,3,1,5,2.943,1,0,4.000
80,3,1,3,3,11,6.162,1,0,7.657
81,1,0,2,0,2,3.828,0,0,3.828
82,0,0,1,0,0,0.000,0,0,0.000
83,1,0,2,0,0,1.000,0,0,1.000
84,1,0,2,0,1,2.000,0,0,2.000
85,1,0,2,0,9,12.071,0,0,12.071
86,3,1,3,3,41,18.647,1,0,34.213
87,1,0,2,0,2,3.828,0,0,3.828
88,1,0,2,0,4,6.657,0,0,6.657
89,1,0,2,0,13,16.071,0,0,16.071
90,1,0,2,0,2,3.828,0,0,3.828
91,1,0,2,0,2,3.414,0,0,3.414
92,1,0,2,0,4,6.657,0,0,6.657
